epoch,et_dice,loss,tc_dice,val_et_dice,val_loss,val_tc_dice,val_wt_dice,wt_dice
0,0.75735298997,0.202430262829,0.693638248624,0.725315297657,0.259748849941,0.66390433121,0.754645320677,0.834771317363
1,0.789893129757,0.165283202452,0.749500668839,0.761145792139,0.193397273812,0.716673448961,0.848385756137,0.866517175836
2,0.806513981889,0.142335394911,0.793411728774,0.746469641428,0.202966054926,0.698274348317,0.852101690795,0.884059271535
3,0.807290978191,0.136777290024,0.808105875389,0.768175623311,0.172024409983,0.757643155055,0.867787372645,0.887307034649
4,0.813180368306,0.128201797374,0.824669880131,0.770439051099,0.170826571827,0.750520715497,0.869501570476,0.892568539647
5,0.818489186732,0.122665075321,0.835137236752,0.748527903566,0.175257928159,0.759336950812,0.866256706597,0.894872665193
6,0.824577207824,0.116983822136,0.845186699705,0.776827408238,0.163578633028,0.763439604123,0.868758009839,0.89766248477
7,0.828365055898,0.113167759682,0.851576148781,0.73047992762,0.192481964012,0.735905000215,0.862954203984,0.900449770059
8,0.831478488487,0.111401405925,0.853730243017,0.773895317105,0.169299260903,0.756454101905,0.870923674894,0.901535951986
9,0.831996480129,0.109230057048,0.858529841215,0.778915297106,0.158616976163,0.77137834546,0.880738099233,0.903077612385
10,0.83275246759,0.107841710579,0.862846827126,0.759349813293,0.190445532044,0.740058860728,0.833321088067,0.9037115856
11,0.838874344982,0.10227678394,0.872841697255,0.772356353908,0.164089563494,0.763607450986,0.877343471222,0.906603995395
12,0.843100558011,0.100505621136,0.873874438657,0.787897232088,0.152193805845,0.791501968341,0.884937914506,0.907200832544
13,0.839183973931,0.103290127835,0.869565916982,0.791089184548,0.146731337667,0.79513861309,0.882076908147,0.905273873964
14,0.845084872079,0.0978112046379,0.879005168698,0.807455796415,0.145071416993,0.773243706842,0.892729123525,0.909227547185
15,0.846546054923,0.0973957101408,0.877679799784,0.780882241803,0.163514661899,0.746442197107,0.885311370035,0.910156308198
16,0.84653444544,0.0967500675492,0.880478869721,0.809428995362,0.139231946922,0.800309968489,0.884726030138,0.909631221967
17,0.849013671939,0.0940163303447,0.884832129201,0.796345102641,0.144440290652,0.791576746459,0.888596802465,0.912376564591
18,0.852794239271,0.0917568754163,0.887763409474,0.790042674789,0.149430717759,0.789942205831,0.887988656182,0.913549823599
19,0.850890073155,0.0926763109536,0.886852173813,0.783334149157,0.154150352518,0.775944868229,0.885447409497,0.912703417159
20,0.855656898728,0.0897447927999,0.891308350568,0.797752613946,0.146127637594,0.787415496948,0.883795487588,0.91397857566
21,0.851963611348,0.0913322596408,0.888913582357,0.791095455781,0.155701988066,0.775334646735,0.883618574483,0.914373112182
22,0.857726479074,0.0884135050694,0.89276995524,0.801687689512,0.145436292768,0.790002550746,0.886339397364,0.915028337785
23,0.858292023823,0.0879510998133,0.893254745464,0.803346138579,0.137585663667,0.79958786199,0.896076060568,0.915672493542
24,0.859984412419,0.0870351298225,0.894093185163,0.804050375148,0.143868393919,0.787170871758,0.886427612275,0.916653172787
25,0.858684577509,0.0874689576504,0.895916736227,0.814006692308,0.135378791715,0.798078806737,0.896572905165,0.916713330107
