epoch,et_dice,loss,tc_dice,val_et_dice,val_loss,val_tc_dice,val_wt_dice,wt_dice
0,0.8077929833214272,0.14148902527078008,0.8108807150174672,0.7881477970681432,0.1565847290047486,0.7697993871253757,0.8820115221077762,0.874745372634622
1,0.8232849418571722,0.12486615298628864,0.8334026629747615,0.8023279613979767,0.14449281984119006,0.7903813011818401,0.8872841537090307,0.8892387562952881
2,0.8284425656833,0.11659371951402736,0.8476757286926886,0.7661502249229888,0.17685362388095183,0.7562597174981406,0.8611986797343019,0.8965704546103296
3,0.8301957760265064,0.11683058372911415,0.8462321429932946,0.8050334016665153,0.14291481810597598,0.7857780109719015,0.8912303504672834,0.8954886082718257
4,0.83117223934211,0.11239914171501714,0.8553772484619111,0.8006068417553528,0.15970048904418946,0.7660986309410424,0.8681168368152027,0.9003318912564723
5,0.8257591777322952,0.11643276919600784,0.8489801504737855,0.7553394106126601,0.18158779926197502,0.7341968190926378,0.873400014098705,0.8984883198308019
6,0.8323165862006603,0.1131874854100533,0.8529964265156053,0.7931399624285427,0.16756782436517342,0.7385984797997776,0.8725496434762547,0.8983814240649852
7,0.8348866066051092,0.10902678075561438,0.8603775327497607,0.8110057219931607,0.1438514880320993,0.7842792583866969,0.8902797682860297,0.9021373021891519
8,0.837227133209643,0.10677660531091605,0.8645087327204897,0.8072039646120848,0.14478079758115261,0.7789729819319765,0.8900940628278823,0.9035784269733732
9,0.8354069156322073,0.10887686464534374,0.8615946056065676,0.8093351634782946,0.14180129107242356,0.7923913082585723,0.886772411558119,0.9014810398577343
10,0.8385217292717076,0.1063083186480192,0.8650859541101721,0.784149803855269,0.1781744126533766,0.7213704798811226,0.8695690289437313,0.9031923979649936
11,0.840102617799174,0.10555177532331345,0.8649867553099491,0.8180965686723384,0.1423431740744689,0.7756064408752043,0.8919262958744887,0.9037830898417762
12,0.8423841805638672,0.10227772704174805,0.8716530511398756,0.8161315937745406,0.13477352520654096,0.7988533490447588,0.89229381210793,0.9056542295300737
13,0.8419543393464441,0.1030455858438437,0.8703755287599112,0.8095191087041582,0.14049491001530542,0.7969985792713781,0.8894936207069596,0.9056663341438803
14,0.8435688639620759,0.10071058795226748,0.8740494150102206,0.8223951756862634,0.1330156022182075,0.8014694293340047,0.8936037227305399,0.9075530858985724
15,0.8413386302915704,0.10247677833611922,0.8727590884716203,0.8104773090365479,0.14285263509794313,0.7873510197377241,0.8905439641252274,0.9053067624961137
16,0.8426728327035942,0.10146644649794885,0.873580903841278,0.7946234684386012,0.15285483628007857,0.771710035749661,0.8843438340405348,0.9066860568464099
17,0.8443522343913351,0.10136732885225724,0.8729532529924754,0.7994927600415255,0.1529866290898184,0.7788936967857056,0.8808143816785329,0.9058289123029163
18,0.8472265823659191,0.10008328585807594,0.8748279361544251,0.7856328719039484,0.16384898184265043,0.7602690201201198,0.8757425354922422,0.906680735093865
