epoch,et_dice,loss,tc_dice,val_et_dice,val_loss,val_tc_dice,val_wt_dice,wt_dice
0,0.747452695525,0.20929384406,0.689758190164,0.766685160129,0.196418383759,0.685937293316,0.861746061782,0.82828643499
1,0.792680179727,0.15814496428,0.766740999601,0.751382558194,0.20743869305,0.700798809382,0.824174092113,0.874610573617
2,0.804612226441,0.141113371949,0.801172659122,0.775099281909,0.179106394889,0.750153045574,0.849171588772,0.886491531374
3,0.813990505911,0.132849876166,0.814498959675,0.792060296437,0.167765526471,0.746273704333,0.862826927997,0.890582499457
4,0.814978402955,0.128025998085,0.827380875997,0.756624414331,0.2101367799,0.711488769379,0.802577271256,0.893161872359
5,0.81886849697,0.121068557419,0.840856181137,0.769072089785,0.172503351836,0.750165394264,0.868435413515,0.898256406419
6,0.82612318412,0.116241462991,0.847227554143,0.766435078615,0.176635400564,0.740867091452,0.874614924897,0.899926570242
7,0.828541321968,0.111976289919,0.856417911459,0.809415936232,0.14841174367,0.763286542654,0.892295560602,0.902302513358
8,0.833954555568,0.10845745006,0.860388396726,0.796750694669,0.146463160274,0.783602050464,0.887330236321,0.904503087277
9,0.83772219889,0.10529378304,0.86603620782,0.805721567102,0.149910829474,0.778357675933,0.87854413902,0.904899296001
10,0.837942437318,0.104504650618,0.867769766717,0.781489126565,0.166409095875,0.742276090924,0.87941917593,0.906910141749
11,0.839696122645,0.102635236669,0.871368976021,0.812719094717,0.151752333762,0.775684731329,0.86343933646,0.90743052889
12,0.844894655393,0.0990019543924,0.877448481213,0.807960698718,0.149161656606,0.768252021193,0.886631130055,0.908933077865
13,0.843381146948,0.100080385615,0.874834488236,0.798927318231,0.156508917463,0.752737449666,0.892580606732,0.908815204973
14,0.84889973813,0.0973214154143,0.877893077499,0.805827047162,0.143302806804,0.779364626785,0.894928934168,0.909950785035
15,0.84882070212,0.095364780203,0.882583706876,0.774524687439,0.161298276734,0.766102370029,0.885390255125,0.912043306484
16,0.850351762113,0.0945234464003,0.884357534488,0.8067378744,0.148765791236,0.76802879799,0.892869759778,0.912006065211
17,0.85139607514,0.093522685044,0.885792791197,0.791185696737,0.154043256211,0.769602488006,0.889645955475,0.912524516889
18,0.853741762671,0.0924477691827,0.885777083422,0.764315733455,0.17413903109,0.73910643582,0.875622659491,0.913317632528
19,0.854598075022,0.0914884533111,0.889254863695,0.813621215026,0.140739192318,0.782033891227,0.896417645851,0.913405598832
20,0.855744728277,0.0905310936159,0.890421445053,0.815129709152,0.133431371552,0.809912458525,0.893537488621,0.914206542739
21,0.855227520247,0.0900715254394,0.891455884356,0.820873195491,0.143401769248,0.778337536027,0.888657200208,0.915167193621
22,0.859390705903,0.088261187551,0.893300645992,0.815395669509,0.136028872382,0.796211287649,0.896232878722,0.915457278304
