epoch,et_dice,loss,tc_dice,val_et_dice,val_loss,val_tc_dice,val_wt_dice,wt_dice
0,0.7095518970287213,0.3339621147151323,0.7185326987850286,0.728155869382867,0.3272426351973538,0.7161901788411236,0.8703561618397679,0.8411287128915758
1,0.7749754071962659,0.28562548734693693,0.8032767850951692,0.7048393451123743,0.3392938646303344,0.7145283904126896,0.8704720124121635,0.8833925354941816
2,0.7883798228854487,0.27387154324061225,0.826067409986402,0.7867891323731242,0.29821149354339926,0.7848329640387024,0.8779205850558713,0.8906058110828825
3,0.7989503319660248,0.2646794977860205,0.8441141543505453,0.7571618591768584,0.31898594109510314,0.7267213494913186,0.8817917405551846,0.8961972979476872
4,0.8072409172250693,0.25755994279739314,0.8571754536512403,0.7861965785928274,0.30654919231725364,0.7540483701614176,0.8887926319594024,0.901284944779646
5,0.8155042316457889,0.2522229436713837,0.8652059168422266,0.7861002758534457,0.29695844210787303,0.7793427792745435,0.8843636088107588,0.9043729023993866
6,0.814583628879009,0.2508508561492024,0.868179446341157,0.7463372875834756,0.3203729805125985,0.7388990096965327,0.8810551576350691,0.9064232602182197
7,0.8146656740172834,0.24855705251320276,0.8726416781193141,0.7627296583443742,0.2951929391437595,0.7792142999337016,0.8894704513835467,0.9064462868269288
8,0.8218294808807581,0.24386609561216427,0.8833687103209804,0.7430437506618588,0.3019476233539493,0.7814143938586093,0.8938143078998853,0.9096609579810857
9,0.8250957831489276,0.2408194809927257,0.885872178396431,0.7624824529603154,0.30586781919277206,0.770857831886104,0.8911319265167834,0.9121160103141773
10,0.8269570107407218,0.23936317413877933,0.8867685490656274,0.7816690288747328,0.30291175814359783,0.7686512719284737,0.8782302327053522,0.9135084912207206
11,0.8278476158950058,0.23641200105215301,0.8928868586495531,0.7833554671839819,0.29599142614780666,0.7943422948709831,0.893941988739916,0.9154598587398409
12,0.8330260253243377,0.23440455299877008,0.8959382630794968,0.7797651202814188,0.3112407828622516,0.741839262710372,0.8855445614425085,0.9168193815550745
13,0.8399781110810537,0.23060010935441005,0.8997673514394006,0.7874937546967361,0.29330275346240325,0.7774331048886347,0.8878911419947576,0.9194841690668801
14,0.8400434762286171,0.229934718369328,0.9012763895741284,0.7841953849462869,0.2928601131461183,0.7842994744876562,0.8976653930961445,0.92012605401567
15,0.8429843502621688,0.2297160819911819,0.9006648560030237,0.8153622480581433,0.28083623402312785,0.8172352210717267,0.8943587017498807,0.9194743602468313
16,0.8508696425709138,0.22583918339596612,0.906066640927883,0.7870399273851867,0.2847891099991337,0.8045101196352055,0.892975779282882,0.9232815727168227
17,0.8484971653769795,0.2278763958819891,0.9010783695552543,0.7062250048517266,0.32567591218538183,0.7186432182147938,0.8843043661886646,0.9216555963203854
18,0.8530979586544857,0.22413464259984614,0.9099652736360314,0.7588164651082591,0.2963651032903777,0.7747240654151377,0.8937705283890122,0.924199820339651
19,0.8549414334549195,0.22220879084530926,0.9120486635902063,0.7753941621465434,0.2864910167666258,0.8066708196692752,0.8989194134413372,0.9257390329053784
