epoch,et_dice,loss,tc_dice,val_et_dice,val_loss,val_tc_dice,val_wt_dice,wt_dice
0,0.7051490062640581,0.41830200009697266,0.6688988730077037,0.7254639007779691,0.33455742949164957,0.6727320013325778,0.5278535330533615,0.3331191934643385
1,0.7516701005875868,0.19441726270867588,0.752539480658496,0.7355604462748925,0.20524481172385853,0.7110333848476617,0.8608880629920374,0.8363427983799321
2,0.7677113168711985,0.17034345607546356,0.7740768691316512,0.7526104756046575,0.19936419849022194,0.7107340859837918,0.8559495104988966,0.8671554609642961
3,0.7717659496159877,0.16029171213409601,0.7886640924254187,0.6996016283640203,0.2419288455661724,0.656256368474944,0.8346833590721389,0.8771226185653042
4,0.7856786805888261,0.15049381038002746,0.8007484239649458,0.756926175971492,0.19296537106212933,0.7303422162340226,0.8646093529856517,0.8812747306166367
5,0.7836663251606328,0.14861884826527919,0.8070460506474911,0.7440736096943382,0.20061094418465633,0.7200869070717077,0.8509747169351813,0.8834656840074009
6,0.790433616178819,0.14106062939090114,0.8180595209633965,0.760526422660911,0.1905022995583656,0.7327893518252135,0.8627810158670955,0.8907219424367888
7,0.7827598768947657,0.14439221153747517,0.8162206607729684,0.7705857245818779,0.17350784635855124,0.7578682650435722,0.8681751800572268,0.8887632186235652
8,0.7923304583773482,0.13695605934154087,0.8257978975640357,0.7639079744009426,0.17525752655097415,0.7454867777315581,0.8758152035707646,0.8931146825379622
9,0.7961769920262463,0.136096602231575,0.8247094495916172,0.7791697490836396,0.16222562488231423,0.7663613751027357,0.8812895358249705,0.892717049596705
10,0.7969361467718731,0.13459874840192898,0.8290604694270501,0.7564743021306919,0.17696962065411054,0.7535694415965755,0.8750036823768741,0.8921609800559478
11,0.7996653550533864,0.132712369920966,0.8302263253643436,0.7820841010220635,0.15965663241809047,0.7661791717716443,0.8835098797825786,0.8957607035881037
12,0.7996167540399594,0.13211012058016233,0.8305459665203863,0.776021916217317,0.16572302506175093,0.7601044461019358,0.8845756551820195,0.8970452035282688
13,0.7985602102423524,0.13226537406779354,0.8338338208189053,0.7720797023485529,0.16077351615908692,0.7750625329266984,0.8795288421041955,0.8952438508482862
14,0.7973557131872784,0.13252655336015431,0.835284397469891,0.7901369530072421,0.1554580846689813,0.783811551329255,0.8822175197520746,0.8948949379248335
15,0.8029720585219576,0.12814765392040828,0.8418111169953432,0.7483811951737657,0.1811114298033824,0.7428236936212698,0.8735478771080802,0.8979104997717332
16,0.8058055156848541,0.12621480559598688,0.8431467128866027,0.7855179659419218,0.17136179686691355,0.7554220357203081,0.8763242354224537,0.9006360888653325
17,0.8040717819750176,0.1252787863819849,0.8480587246216255,0.7901002923495438,0.16310589478312548,0.758093446742646,0.8859371082940226,0.8998405463851258
18,0.8053863608045467,0.12421982559647343,0.8479022408935715,0.7925588336043188,0.16208495674411638,0.7727188565352616,0.878663307181191,0.9004553221600259
19,0.8055369144805291,0.1257651593669462,0.8436137927249219,0.7570530082130452,0.1694327640093966,0.7590756307161839,0.8848449130761459,0.9010269861584094
20,0.8055642291910202,0.12444162110114552,0.8471686247018639,0.7593340595132616,0.17101664358203494,0.7551705174860723,0.8802788240019627,0.9029068190755715
21,0.8065293003399457,0.12079101885958748,0.8549957434452174,0.7983181286472125,0.1656291965515383,0.7518455700145238,0.8754087427794109,0.9018757136635778
22,0.8122383160683858,0.11977124511286834,0.8563288086034451,0.7809649335922748,0.1631821303689901,0.7809097762772195,0.8708627360573928,0.9015036650627495
23,0.8040548448797289,0.12313568059829126,0.8530163524261215,0.7857374422416796,0.16231103329797678,0.7660092990339435,0.8820066107216702,0.9015144629363055
24,0.8095627814263026,0.11984341780115065,0.8585838918797711,0.7859076134734687,0.15347246283210367,0.7855847434150273,0.8858932177042631,0.901407758198309
25,0.8125894913674563,0.1178442341656502,0.8585775090958045,0.7869661371164691,0.1508675648503223,0.790489463927046,0.8847644984447461,0.904222994288064
26,0.8014266229281735,0.12386162524773554,0.8517108705017779,0.7884310307407526,0.1634092270320828,0.7677407291391181,0.8850998906862169,0.9002860355771335
27,0.8112149349864427,0.11919455004626112,0.8561824694243626,0.797841968977207,0.15513030850942233,0.7846179505281767,0.8867023331310963,0.903715972949377
28,0.8093814693053218,0.11918591747427805,0.8592500187123014,0.7956286088936331,0.1500049318769194,0.7905897232286121,0.8852042956286311,0.9043615598009747
29,0.814596325523807,0.11458775767964739,0.8642330442706853,0.7857726452126106,0.1626517451120778,0.7719183100021253,0.88738657212294,0.9066756115432651
30,0.8109658306232574,0.1201959748039313,0.8544729165205317,0.7548509636660716,0.17489809096317321,0.754069922866726,0.8847738384834266,0.9059315230428953
31,0.8173281390286653,0.11555168502041127,0.8611852229337174,0.7674684029036618,0.17155424147706977,0.7549124666262343,0.8835590267144773,0.9057050847831365
32,0.8147418620508995,0.11579531695788792,0.8632224774313643,0.7874642590801153,0.16010276586412467,0.7697356833574985,0.8812316515662475,0.9062829190130117
33,0.8146902571771694,0.11349006710265234,0.8654020987533485,0.8023667404644943,0.14727794755530613,0.7863922031673815,0.8885737803857631,0.9071788712989229
