epoch,hard_dice,hard_dice_1,hard_dice_2,loss,val_hard_dice,val_hard_dice_1,val_hard_dice_2,val_loss
0,0.8284706426267571,0.6908143216971689,0.729372195183635,0.21838356152026195,0.8533204059996363,0.6641261782066289,0.7236582861169475,0.21967293983597178
1,0.8664109913404925,0.757446944244664,0.7635664325863875,0.17482821855857272,0.8196502178129599,0.7080065975572377,0.7360189515366735,0.21977752357400873
2,0.8764393057797928,0.7874447516884561,0.7728932482249853,0.1601940458610264,0.8603420677091193,0.7227392656046882,0.751960817635941,0.18940062376394434
3,0.8832523826017672,0.802667734369349,0.7865805102079553,0.14911011040947292,0.8419888317859667,0.6832623507321947,0.6831738700706875,0.2314578062012082
4,0.8866205779474173,0.8049568186534725,0.7783169929986588,0.14893340911399952,0.8802848446204365,0.772555979404215,0.7781537881285757,0.16055081357604348
5,0.8888748320850586,0.820316209527845,0.7909698640861218,0.1415904976031769,0.8482022578998278,0.7551763990258625,0.7639194315018165,0.1831742425851192
6,0.892137698577368,0.8277879528434731,0.7950109581480541,0.13826191512755112,0.881616840348384,0.7435206484896537,0.7677648389971415,0.16924222572241693
7,0.89327170786526,0.8284365973843939,0.7986298204622507,0.13597218605588515,0.8448081931210882,0.7367980083863473,0.7391695004944147,0.1933567879203644
8,0.8945524328938458,0.8336074028717547,0.8023348945422935,0.13179111150691988,0.8818622797864922,0.7758665723552909,0.7815785723920031,0.15760656401125883
9,0.8958195973470128,0.834996099194609,0.8015292232031971,0.1338809930920467,0.8875395005199767,0.7734490870881513,0.7770431042426439,0.1594635576101309
10,0.8993876665557986,0.8436387297494838,0.8077703878887167,0.1248480802649117,0.8810331011697444,0.7524474148597243,0.779234284349455,0.1680065550013072
11,0.9008956285296755,0.8459092880303178,0.8050035835577292,0.125368559660871,0.886676625648768,0.7538273980816301,0.7856631472768327,0.16640969796847271
12,0.9017981490205268,0.8532270706729398,0.8090542267685752,0.12170665485674105,0.8811209510914558,0.7785875495693713,0.788636971463577,0.1564735398543412
13,0.9049287081721377,0.8586980816527857,0.8162545860072584,0.11646321346548966,0.879461740971344,0.7826459463291489,0.7812411065202678,0.16055564944462108
14,0.9031243093447048,0.8596030133035226,0.8171529158678328,0.11845399023652019,0.8838148744241799,0.745801432584554,0.7682593420739403,0.16767427617320632
15,0.9028196573831463,0.8564594189476443,0.8152529651456285,0.12081325522128776,0.8814835893211974,0.7671817111178563,0.7864384864098896,0.16400624494856586
16,0.9031059381724973,0.8555618402599996,0.8115856719378738,0.12046664135162606,0.8824028266739735,0.7813193332560086,0.7658482825217411,0.16233158222815958
17,0.9053005272266955,0.8637689413429599,0.8211489631698781,0.11496706330705428,0.8864315947446223,0.7610403546589745,0.8004882249053874,0.15947617913171444
18,0.9055561960465719,0.863206924154916,0.8174144877112649,0.11516809692315469,0.8790616050113472,0.774337588402281,0.7826818892187334,0.1599718809494042
19,0.9072644190399389,0.8669944404958798,0.8237390311989466,0.11369805419412514,0.8639168293794729,0.7168948300242676,0.7604578265804626,0.18861079129480546
20,0.9082895984047018,0.873908637374249,0.826990784089026,0.11046125232608987,0.8871671770391742,0.7855655266314533,0.7917626683767306,0.15457096460136582
21,0.9081788898589139,0.8713070849360994,0.8305450721330874,0.10948522801269901,0.8895979112194431,0.7943525464732021,0.8079175001468089,0.1432603733376607
22,0.9086121811414615,0.8723177787070775,0.8261505546883309,0.11075779955300258,0.8814846150336727,0.7682911996057302,0.7899162945456085,0.1615689671717115
23,0.9097942888306263,0.8725889431960925,0.8312887634721567,0.10765358647916007,0.8885645135573345,0.7805220932483213,0.7822183149807368,0.1596900300679302
24,0.9093810606917754,0.8793368384663349,0.8304245968047407,0.10672120003959681,0.8853489949406567,0.7859722369828066,0.7924016075432333,0.15616925302921536
25,0.9118073460532619,0.8766508030640127,0.832214777957328,0.10547265388326227,0.8904061328247762,0.8020356596402891,0.8017778248269217,0.1444553733421361
26,0.9106232275072825,0.8794603356248059,0.8342406977091309,0.10541738533051548,0.8836604575957021,0.7659511033329314,0.7643047836223953,0.17154459380151307
27,0.910374227951161,0.8779880604350445,0.8322765820179963,0.10571186441878526,0.8878127518886795,0.7639874079354404,0.7779526169421058,0.16421190536882838
28,0.9088746577718396,0.8805284679957476,0.8364475016953908,0.10459795151413434,0.8870745492604105,0.7780437160156243,0.768119958549535,0.16389538953838992
29,0.913068481556123,0.8831053498700083,0.8378592701627402,0.10308486108813579,0.8740618227824821,0.7483469473053962,0.7476319236953879,0.18658497279964834
30,0.9125256933306561,0.8821844714159099,0.8385118623395079,0.10260719868253311,0.8832305524389499,0.7901574633638753,0.7821932832802261,0.15637057129688528
31,0.9155249513452536,0.8908869372618169,0.8431787777810624,0.09696890478091301,0.8801525537502565,0.7913026847048686,0.7794144633057517,0.15670187584998604
32,0.9123210329493672,0.886147386604416,0.843312244900604,0.09951635701299345,0.8888763617260664,0.7988162415601517,0.8101155382577305,0.1450663303449956
33,0.914159984329519,0.889850805310195,0.8436407462724099,0.09823052955274501,0.8732221753784268,0.7766395554810706,0.7976285193719949,0.16099222001666846
34,0.9148488693741615,0.8880417465194926,0.8461964887725504,0.09792897255496064,0.884940023228137,0.7805303887837494,0.7751089337184381,0.16158942965684764
