epoch,et_dice,loss,tc_dice,val_et_dice,val_loss,val_tc_dice,val_wt_dice,wt_dice
0,0.0014016253872914447,0.6197560302098898,0.01680372019663828,0.0017730548342676487,0.516592868150837,0.03507056183971413,0.11482036585265773,0.07690911625585631
1,0.0007410216466152954,0.503753838549072,0.03676660871537373,0.0019091549238725854,0.5093929578631704,0.03715702096948446,0.11842800200031284,0.11324584003411747
2,0.0007413411242285655,0.4936994593936661,0.040237835836248924,0.001268272432595052,0.4956511357596027,0.04376700333833416,0.12706453459832343,0.11999829620806869
3,0.0006555124221317652,0.48546213100052554,0.043855411569144916,0.001836556009105043,0.511316334835029,0.04412763155655764,0.12996297393755246,0.12529117231039189
4,0.0010354752817591803,0.48336052176007643,0.06222002443955733,0.019389940477647753,0.4969200961783917,0.4260374387528979,0.7661462929574758,0.1658197746955456
5,0.6888155982127724,0.3149771683930853,0.7692861422742292,0.7039477271149224,0.3358748441833871,0.7099956020987477,0.874632446264248,0.873327988024566
6,0.7467411779769608,0.2925048794740277,0.8042733326568012,0.685564607267915,0.34259514869083457,0.7110502653137711,0.8803051598246616,0.8891220956873385
7,0.7487050718892775,0.290545614977515,0.8043486782308485,0.7402359835522769,0.313015921965539,0.7689413413479939,0.8775741708809696,0.887653619623974
8,0.7507394480715324,0.28816257032990705,0.807420739146253,0.7528318023389083,0.3269417903390348,0.7410489541510259,0.8581369079943016,0.8882103323496482
