epoch,et_dice,loss,tc_dice,val_et_dice,val_loss,val_tc_dice,val_wt_dice,wt_dice
0,0.720936235714,0.216333175834,0.694039961909,0.773613163733,0.21259992168,0.662449641748,0.832523554152,0.829252187708
1,0.802018950106,0.147034527197,0.786508191609,0.792545041218,0.165486230522,0.750015663148,0.872536898703,0.882456124688
2,0.811856827285,0.133555438868,0.815849868191,0.782692719788,0.166709451631,0.757818501483,0.869086650971,0.889409115249
3,0.821575815843,0.121849300663,0.838899549185,0.797578303916,0.160816241483,0.766894912537,0.870995387119,0.895798718862
4,0.825428942719,0.116048624046,0.851041967743,0.774906827979,0.171198205268,0.740109448169,0.878733395505,0.898468407349
5,0.832438833335,0.109688696513,0.860909517392,0.798593704693,0.153889265075,0.772240003481,0.880931831377,0.902875084178
6,0.836450609113,0.107640874371,0.863956320733,0.792360033253,0.157214174036,0.768332094806,0.877487219589,0.901904677702
7,0.842018468121,0.103989272591,0.86717172511,0.750668624872,0.179775876091,0.734109752995,0.875032315972,0.905188100358
8,0.846747340189,0.0994360190183,0.875220090814,0.816871364582,0.140685103914,0.786422782614,0.889836423298,0.908081052153
9,0.847784504634,0.0992765516784,0.875686411206,0.82702947551,0.135405905236,0.792978929228,0.891552713262,0.907120118694
10,0.849473484864,0.0973328979607,0.878599154947,0.81906259146,0.145385427171,0.775998812355,0.883948472513,0.908782294757
11,0.851393007144,0.0946521251483,0.88287745964,0.82111311543,0.137183676337,0.795837673192,0.887987331787,0.911695628646
12,0.854872745644,0.0929940082579,0.885059914377,0.804658350875,0.149952507459,0.76999078718,0.886445989294,0.912059299356
13,0.855763928912,0.0915778210679,0.887595441324,0.817548199824,0.140791875133,0.785728539318,0.888783789413,0.913181360685
14,0.85818350651,0.0898136812936,0.890208881828,0.817604795835,0.136091329572,0.795617241281,0.894539855904,0.914584005807
15,0.860521310609,0.0883917861795,0.891679931942,0.82459090895,0.137942352511,0.783309806638,0.894899308645,0.915235626135
16,0.862358314255,0.0871896805684,0.893819895527,0.823147577917,0.134148463474,0.797781638689,0.895801370246,0.915669112012
17,0.861436931246,0.0881551339546,0.891463712958,0.821137676206,0.132990043174,0.801723616684,0.895004444005,0.915609400277
18,0.862956880513,0.0864379421357,0.895057668806,0.799597173774,0.152133647729,0.772956890335,0.881695531206,0.916458299537
19,0.865790068742,0.0843135482617,0.897697157281,0.812940019232,0.147416609613,0.783618086073,0.878398588854,0.918251157086
20,0.867496029597,0.0829155072032,0.900387960272,0.811388542502,0.140862367175,0.789547316471,0.892595384088,0.919273775675
